溶解氧,水温,pH,电导率,浊度,高锰酸盐指数,氨氮,总氮
8.65,9.4,7.85,368.3,5.1,5.05,0.418,4.84
8.42,9.2,7.83,367.2,5.2,4.84,0.428,4.85
8.29,9.2,7.81,367.2,5.1,5.13,0.443,4.89
8.8,9.4,7.84,370.6,4.9,5.28,0.466,4.99
9.19,9.6,7.87,369.9,4.7,5.1,0.493,5.01
8.8,9.4,7.84,372.4,4.7,5.05,0.529,5.03
8.55,9.3,7.82,379.7,4.9,5.28,0.55,5.18
8.24,9.1,7.81,385.1,6.2,5.23,0.573,5.32
8.04,9.1,7.79,384.5,7,5.07,0.582,5.27
8.94,9.9,7.82,382.7,6.6,5.36,0.565,5.3
9.58,11.1,7.86,383.8,6.7,5.59,0.552,5.26
8.8,10.4,7.82,393.4,6.1,5.75,0.534,5.42
8.53,10.3,7.78,401.8,10.8,5.73,0.502,5.53
8.14,10.2,7.75,393.6,6.6,5.62,0.476,5.42
7.76,10.3,7.73,385.3,9.4,5.57,0.447,5.31
8.08,10.7,7.74,391,11,5.54,0.411,5.46
8.2,10.9,7.75,395.8,9.9,5.66,0.389,5.44
7.78,10.9,7.73,397,7.8,5.34,0.373,5.43
7.59,10.9,7.72,395.3,7.1,5.31,0.359,5.38
7.43,10.9,7.71,400.3,7.4,5.41,0.328,5.45
7.18,10.9,7.7,400.3,8.3,5.39,0.303,5.44
7.45,11,7.7,396.5,8.2,5.34,0.28,5.4
7.76,11.2,7.71,395.1,7.3,5.49,0.274,5.32
7.08,11.2,7.68,393.5,7.1,5.32,0.28,5.3
6.79,11.2,7.66,387.9,7.2,5.28,0.287,5.27
6.59,11.2,7.65,379,6.1,5.24,0.271,5.07
6.49,11.3,7.64,373.6,6.6,4.89,0.25,4.95
6.93,11.6,7.66,370.9,7.6,4.98,0.225,4.88
6.93,11.9,7.65,372,8.4,5.02,0.226,4.95
6.43,11.9,7.63,391.7,6.3,5.26,0.283,5.42
6.1,12,7.62,389.7,5.6,5.11,0.302,5.41
6,12,7.63,389.1,6.4,4.99,0.303,5.37
5.72,12,7.62,393.5,8.2,5.21,0.337,5.51
5.81,12.1,7.62,411.1,7.6,5.47,0.428,5.94
6.04,12.2,7.63,418.8,6.4,5.38,0.48,6.11
5.74,12.1,7.63,420.3,5.5,5.33,0.511,6.17
5.62,12,7.63,416.4,5,5.17,0.508,6.14
5.54,11.9,7.63,411.4,6.4,5.26,0.502,6.04
5.52,11.8,7.63,404.2,8,5.24,0.494,5.97
5.98,11.8,7.65,399.1,7.6,5.3,0.479,5.84
6.4,11.9,7.65,397.5,6.1,5.3,0.468,5.8
6.26,11.6,7.65,396.6,5.2,5.1,0.461,5.76
6.14,11.5,7.64,396.7,4.7,4.77,0.438,5.71
6.24,11.3,7.64,390.9,5.1,4.75,0.43,5.66
6.38,11,7.65,386.5,5.3,4.95,0.424,5.61
6.83,10.9,7.68,423.4,7.2,5.37,0.524,5.659259259
7.24,10.9,7.72,499.8,8,6.57,0.590700772,5.750740741
7.52,10.7,7.7,371.9,13.6,5.39,0.623,5.8
7.35,10.6,7.61,329.9,26.7,6.04,0.62281502,5.58
7.33,10.5,7.58,334.7,39.2,6.77,0.622274449,5.66
7.47,10.5,7.53,320,39.1831764,7.35,0.621399837,5.88
7.57,10.8,7.49,314.2,39.12190835,7.95,0.620212735,6.056998342
7.53,11.7,7.46,311.7,39,8.01,0.618734694,6.206832504
7.11,11.6,7.48,310.3,32.8,7.63,0.616987265,6.27
6.87,11.2,7.47,304.5,27.1,7.07,0.614992,5.89
6.79,10.8,7.48,306.4,23.3,6.67,0.612770449,5.86
6.52,10.5,7.49,313.8,21.2,6.16,0.610344163,5.98
6.88,10.6,7.52,319.7,19.1,6.68,0.607734694,6.15
6.87,10.9,7.54,327.4,18,7.21,0.604963592,6.3
6.45,10.7,7.53,333,19.8,7,0.602052408,6.294772727
6.54,10.5,7.53,330.7,18,6.27,0.599022694,6.28
6.31,10.2,7.52,333.2,15.3,6.48,0.595896,6.21
5.93,9.8,7.52,335.3,13.9,6.03,0.592693878,6.16
6.23,9.9,7.51,336.8,12.4,6.6,0.589437878,6.16
6.44,10.2,7.54,336,11.9,6.87,0.586149551,5.98
5.97,9.9,7.53,336.8,13.8,7.08,0.582850449,5.99
5.67,9.8,7.52,335.9,15.9,6.44,0.579562122,5.99
5.64,9.9,7.53,337.4,13.9,6.41,0.576306122,5.97
5.44,9.7,7.53,337.9,12.4,6.31,0.573104,5.93
6.1,10.8,7.53,339.5,11.5,6.73,0.569977306,5.94
5.82,11.7,7.52,342.5,10.6,6.8,0.566947592,6.03
5.08,11.2,7.49,340.6,9.8,6.58,0.564036408,5.83
4.8,10.9,7.5,344.8,10.5,6.46,0.561265306,5.81
4.67,10.9,7.49,343.1,12.4,5.39,0.558655837,5.72
4.6,10.6,7.49,338.9,11.4,5.87,0.556229551,5.58
5.61,11.8,7.51,341.1,9,5.82,0.554008,5.5
5.69,12.7,7.5,344.5,7.9,6.12,0.552012735,5.52
4.54,12.1,7.48,345.7,7.7,6.07,0.550265306,5.66
4.33,11.8,7.45,347.7,8.2,6.25,0.548787265,5.64
4.04,11.8,7.47,349.9,9.8,5.76,0.547600163,5.62
3.9,11.6,7.47,346.6,10.1,5.43,0.546725551,5.54
5,12.3,7.48,345.6,8,5.58,0.54618498,5.36
6.14,12.6,7.52,345.8,7.4,5.41,0.546,5.12
5.54,12.3,7.51,344.6,6.3,5.41,0.563,5.04
4.98,12,7.5,343.3,6.3,5.16,0.581,5.05
5.13,11.9,7.5,345.2,7.4,5.02,0.488,4.93
5.12,11.9,7.5,344.1,7.6,4.93,0.453,4.85
6.14,12.2,7.53,343.2,7.7,5.01,0.411,4.75
6.72,12.6,7.55,343.7,7.6,4.88,0.361,4.67
6.36,12.4,7.55,344.8,6,4.68,0.328,4.51
5.72,12.3,7.5,343.5,5.6,4.66,0.385,4.53
5.39,12.2,7.5,345.4,5.4,4.44,0.382,4.59
5.32,12.2,7.5,345.9,5.5,4.58,0.359,4.51
5.95,12.3,7.51,344.6,5.4,4.48,0.344,4.45
6.29,12.4,7.56,345.3,6.6,4.6,0.321,4.42
6.08,12.2,7.56,345.9,5.4,4.32,0.323,4.36
5.85,12.1,7.54,344.6,5.5,4.08,0.352,4.42
5.68,12,7.54,347.1,5.6,4.33,0.344,4.43
5.78,11.9,7.58,355,6.6,4.57,0.332,4.4
6.79,12,7.62,354.7,6.5,4.5,0.305,4.31
6.97,12.3,7.62,339.1,6.9,4.42,0.304,4.23
6.08,12.1,7.58,329.9,7.5,4.52,0.54,4.23
5.73,12.3,7.58,340.9,8.6,4.77,0.569825782,4.23
4.9,12.1,7.55,345.7,9.6,5.14,0.594365945,4.23
4.76,11.9,7.5,346.8,10.7,5.24,0.614094897,4.23
4.74,12,7.51,340.5,13.6,7.16,0.629487044,4.23
5.24,12.3,7.46,324.5,16.4,7,0.641016796,4.23
5.32,12.5,7.48,305.7,20.7,6.92,0.649158559,4.23
5.38,12.3,7.39,292.6,26.2,7.3,0.654386743,4.23
5.74,12.3,7.36,291,25,7.21,0.657175754,4.23
5.61,12.4,7.31,287,24.9,6.97,0.658,4.23
5.76,12.6,7.3,292.6,22.4,6.98,0.562,4.23
4.88,12.6,7.31,295,21.7,7.09,0.55439354,4.23
4.14,12.6,7.27,288.3,24.3,7.58,0.549894611,4.23
3.96,12.5,7.29,310.9,23.8,8.3,0.54750037,4.23
4.54,12.4,7.3,280.6,23.6,6.93,0.546207974,4.23
4.93,12.4,7.32,271.4,25.8,6.57,0.545014581,4.23
4.01,12.5,7.3,277.7,38.9,8,0.54291735,4.23
5.73,12.7,7.23,243.8,39.25063435,7.35,0.538913437,4.23
6.2,12.8,7.21,230.9,39.46445276,0.12,0.532,4.23
6.3,12.8,7.22,222.9,39.57104478,0.19,0.493,4.23
6.27,12.7,7.21,220.8,39.6,0.12,0.49,4.23
6.31,12.6,7.23,220.3,35,0.043706897,0.453,4.23
6.36,12.9,7.23,223.5,30.3,0,0.442,4.23
6.52,13,7.25,228.2,27,0.11,0.446,4.23
6.42,12.7,7.26,233.1,24.5,0.14,0.441,4.23
6.31,12.5,7.27,234.8,22.1,1.81,0.431,4.23
6.12,12.4,7.29,241.8,21.6,6.33,0.439,4.23
5.93,12.1,7.28,243.5,21.3,0.05,0.465,4.23
6.38,12.1,7.31,246.3,19.3,0.07,0.448,4.23
6.48,12.2,7.33,247.3,18.6,0.084559265,0.446479898,4.229999917
6.481657478,12.25494036,7.330655753,247.2990233,18.53365096,0.099115453,0.444970936,4.229999636
6.483308841,12.30979448,7.331309113,247.2960981,18.46776131,0.113668472,0.443473071,4.22999911
6.4849541,12.36456231,7.331960086,247.2912318,18.40232936,0.128218233,0.441986262,4.22999829
6.486593266,12.41924378,7.332608676,247.2844316,18.33735342,0.142764646,0.440510467,4.229997128
6.488226352,12.47383883,7.333254887,247.2757048,18.27283181,0.157307621,0.439045644,4.229995577
6.489853367,12.5283474,7.333898724,247.2650587,18.20876283,0.171847066,0.43759175,4.229993589
6.491474323,12.58276942,7.334540191,247.2525008,18.1451448,0.186382893,0.436148744,4.229991116
6.493089232,12.63710484,7.335179292,247.2380382,18.08197603,0.20091501,0.434716584,4.229988111
6.494698105,12.69135358,7.335816031,247.2216783,18.01925484,0.215443328,0.433295228,4.229984524
6.496300953,12.7455156,7.336450414,247.2034284,17.95697953,0.229967756,0.431884634,4.229980309
6.497897788,12.79959083,7.337082444,247.1832958,17.89514843,0.244488204,0.430484759,4.229975417
6.499488621,12.8535792,7.337712126,247.1612878,17.83375983,0.259004582,0.429095562,4.229969801
6.501073462,12.90748065,7.338339464,247.1374118,17.77281206,0.2735168,0.427717001,4.229963413
6.502652324,12.96129512,7.338964462,247.111675,17.71230343,0.288024767,0.426349034,4.229956204
6.504225218,13.01502256,7.339587126,247.0840847,17.65223225,0.302528394,0.424991618,4.229948128
6.505792155,13.06866289,7.340207458,247.0546483,17.59259683,0.317027589,0.423644712,4.229939136
6.507353146,13.12221605,7.340825464,247.0233732,17.53339549,0.331522264,0.422308274,4.22992918
6.508908202,13.17568199,7.341441149,246.9902664,17.47462653,0.346012327,0.420982262,4.229918213
6.510457336,13.22906064,7.342054515,246.9553355,17.41628828,0.360497688,0.419666633,4.229906186
6.512000558,13.28235194,7.342665568,246.9185878,17.35837904,0.374978257,0.418361347,4.229893052
6.513537879,13.33555582,7.343274313,246.8800304,17.30089712,0.389453945,0.41706636,4.229878763
6.515069311,13.38867223,7.343880752,246.8396708,17.24384084,0.40392466,0.415781631,4.229863271
6.516594865,13.44170111,7.344484892,246.7975162,17.18720851,0.418390312,0.414507117,4.229846528
6.518114553,13.49464238,7.345086736,246.753574,17.13099845,0.432850812,0.413242778,4.229828486
6.519628385,13.54749599,7.345686288,246.7078514,17.07520896,0.447306069,0.41198857,4.229809097
6.521136373,13.60026188,7.346283553,246.6603558,17.01983836,0.461755993,0.410744452,4.229788315
6.522638529,13.65293998,7.346878536,246.6110945,16.96488497,0.476200494,0.409510382,4.22976609
6.524134863,13.70553024,7.34747124,246.5600749,16.91034708,0.49063948,0.408286318,4.229742374
6.525625387,13.75803258,7.34806167,246.5073041,16.85622303,0.505072863,0.407072217,4.229717121
6.527110113,13.81044696,7.348649831,246.4527896,16.80251111,0.519500552,0.405868039,4.229690282
6.52858905,13.86277329,7.349235726,246.3965386,16.74920964,0.533922457,0.40467374,4.229661809
6.530062212,13.91501154,7.34981936,246.3385584,16.69631694,0.548338488,0.403489279,4.229631654
6.531529609,13.96716162,7.350400738,246.2788565,16.64383131,0.562748553,0.402314613,4.22959977
6.532991252,14.01922349,7.350979864,246.2174399,16.59175108,0.577152564,0.401149702,4.229566108
6.534447153,14.07119707,7.351556742,246.1543162,16.54007454,0.59155043,0.399994502,4.229530621
6.535897322,14.12308231,7.352131377,246.0894926,16.48880002,0.60594206,0.398848972,4.229493261
6.537341772,14.17487915,7.352703772,246.0229764,16.43792583,0.620327365,0.39771307,4.22945398
6.538780514,14.22658751,7.353273933,245.9547749,16.38745028,0.634706254,0.396586754,4.229412731
6.540213559,14.27820735,7.353841864,245.8848954,16.33737168,0.649078638,0.395469981,4.229369464
6.541640918,14.32973859,7.354407569,245.8133452,16.28768834,0.663444425,0.394362711,4.229324133
6.543062602,14.38118118,7.354971052,245.7401318,16.23839858,0.677803525,0.3932649,4.22927669
6.544478623,14.43253505,7.355532318,245.6652622,16.18950072,0.692155849,0.392176507,4.229227086
6.545888992,14.48380014,7.356091371,245.588744,16.14099305,0.706501306,0.39109749,4.229175274
6.547293721,14.5349764,7.356648215,245.5105843,16.0928739,0.720839806,0.390027806,4.229121206
6.54869282,14.58606375,7.357202856,245.4307906,16.04514158,0.735171259,0.388967415,4.229064834
6.550086301,14.63706213,7.357755296,245.34937,15.9977944,0.749495574,0.387916273,4.229006111
6.551474176,14.68797149,7.358305542,245.26633,15.95083067,0.763812662,0.386874339,4.228944988
6.552856455,14.73879176,7.358853596,245.1816778,15.90424871,0.778122432,0.385841571,4.228881417
6.55423315,14.78952288,7.359399464,245.0954208,15.85804682,0.792424793,0.384817927,4.228815351
6.555604273,14.84016478,7.35994315,245.0075662,15.81222333,0.806719657,0.383803364,4.228746742
6.556969833,14.89071742,7.360484657,244.9181214,15.76677654,0.821006931,0.382797842,4.228675541
6.558329844,14.94118071,7.361023991,244.8270936,15.72170477,0.835286527,0.381801317,4.228601702
6.559684316,14.9915546,7.361561156,244.7344902,15.67700632,0.849558354,0.380813748,4.228525176
6.56103326,15.04183904,7.362096156,244.6403186,15.63267952,0.863822322,0.379835093,4.228445915
6.562376687,15.09203395,7.362628996,244.5445859,15.58872267,0.87807834,0.378865309,4.228363872
6.56371461,15.14213927,7.36315968,244.4472996,15.54513409,0.892326319,0.377904356,4.228278998
6.565047039,15.19215495,7.363688212,244.3484669,15.50191208,0.906566167,0.37695219,4.228191246
6.566373986,15.24208092,7.364214596,244.2480952,15.45905497,0.920797796,0.376008771,4.228100568
6.567695461,15.29191712,7.364738838,244.1461917,15.41656106,0.935021114,0.375074055,4.228006916
6.569011477,15.34166348,7.365260941,244.0427638,15.37442867,0.949236032,0.374148001,4.227910242
6.570322044,15.39131995,7.36578091,243.9378188,15.33265611,0.963442459,0.373230566,4.227810498
6.571627174,15.44088646,7.366298749,243.8313639,15.29124169,0.977640305,0.37232171,4.227707637
6.572926879,15.49036295,7.366814463,243.7234066,15.25018373,0.99182948,0.371421389,4.22760161
6.574221168,15.53974936,7.367328055,243.6139541,15.20948053,1.006009894,0.370529563,4.22749237
6.575510054,15.58904562,7.367839531,243.5030137,15.16913041,1.020181456,0.369646188,4.227379869
6.576793549,15.63825168,7.368348894,243.3905927,15.12913168,1.034344076,0.368771223,4.227264059
6.578071662,15.68736747,7.36885615,243.2766985,15.08948266,1.048497664,0.367904626,4.227144892
6.579344406,15.73639293,7.369361301,243.1613384,15.05018166,1.06264213,0.367046355,4.22702232
6.580611792,15.785328,7.369864354,243.0445196,15.01122699,1.076777383,0.366196367,4.226896295
6.581873831,15.83417262,7.370365311,242.9262495,14.97261696,1.090903334,0.365354622,4.22676677
6.583130535,15.88292672,7.370864178,242.8065354,14.93434989,1.105019891,0.364521076,4.226633696
6.584381914,15.93159024,7.371360959,242.6853846,14.89642408,1.119126966,0.363695688,4.226497027
6.585627981,15.98016312,7.371855658,242.5628045,14.85883785,1.133224467,0.362878416,4.226356713
6.586868746,16.0286453,7.37234828,242.4388022,14.82158952,1.147312305,0.362069218,4.226212707
6.588104221,16.07703671,7.372838828,242.3133852,14.78467739,1.161390389,0.361268052,4.226064961
6.589334416,16.1253373,7.373327308,242.1865608,14.74809979,1.175458629,0.360474875,4.225913428
6.590559344,16.17354699,7.373813723,242.0583362,14.71185501,1.189516935,0.359689647,4.225758059
6.591779016,16.22166574,7.374298079,241.9287188,14.67594137,1.203565216,0.358912324,4.225598806
6.592993442,16.26969348,7.374780379,241.7977159,14.6403572,1.217603383,0.358142865,4.225435623
6.594202635,16.31763014,7.375260627,241.6653348,14.60510079,1.231631345,0.357381228,4.22526846
6.595406605,16.36547566,7.375738829,241.5315828,14.57017046,1.245649012,0.356627371,4.22509727
6.596605363,16.41322999,7.376214988,241.3964672,14.53556453,1.259656293,0.355881252,4.224922005
6.597798922,16.46089305,7.376689109,241.2599953,14.5012813,1.273653099,0.355142829,4.224742618
6.598987293,16.50846479,7.377161197,241.1221745,14.46731909,1.287639339,0.354412059,4.22455906
6.600170486,16.55594515,7.377631255,240.983012,14.43367622,1.301614924,0.353688902,4.224371283
6.601348513,16.60333406,7.378099288,240.8425152,14.40035098,1.315579762,0.352973314,4.22417924
6.602521385,16.65063146,7.3785653,240.7006914,14.36734171,1.329533764,0.352265254,4.223982883
6.603689114,16.69783729,7.379029296,240.5575479,14.3346467,1.343476839,0.35156468,4.223782164
6.604851711,16.74495148,7.37949128,240.413092,14.30226428,1.357408897,0.35087155,4.223577034
6.606009187,16.79197398,7.379951257,240.2673309,14.27019275,1.371329849,0.350185822,4.223367447
6.607161553,16.83890473,7.38040923,240.1202722,14.23843043,1.385239603,0.349507454,4.223153355
6.608308821,16.88574365,7.380865204,239.9719229,14.20697563,1.39913807,0.348836403,4.222934709
6.609451003,16.93249069,7.381319185,239.8222905,14.17582666,1.413025159,0.348172629,4.222711461
6.610588108,16.97914579,7.381771175,239.6713822,14.14498184,1.42690078,0.347516088,4.222483564
6.61172015,17.02570888,7.382221179,239.5192054,14.11443947,1.440764843,0.34686674,4.22225097
6.612847138,17.07217991,7.382669202,239.3657674,14.08419788,1.454617257,0.346224541,4.222013631
6.613969085,17.11855881,7.383115248,239.2110755,14.05425536,1.468457934,0.34558945,4.221771499
6.615086001,17.16484551,7.383559321,239.055137,14.02461024,1.482286781,0.344961425,4.221524526
6.616197898,17.21103996,7.384001426,238.8979592,13.99526084,1.496103709,0.344340424,4.221272665
6.617304787,17.25714209,7.384441567,238.7395495,13.96620545,1.509908629,0.343726404,4.221015868
6.61840668,17.30315185,7.384879749,238.579915,13.93744239,1.523701448,0.343119325,4.220754086
6.619503588,17.34906917,7.385315975,238.4190633,13.90896998,1.537482078,0.342519144,4.220487271
6.620595521,17.39489398,7.385750251,238.2570014,13.88078653,1.551250429,0.341925818,4.220215377
6.621682492,17.44062623,7.38618258,238.0937369,13.85289035,1.565006409,0.341339307,4.219938355
6.622764512,17.48626585,7.386612968,237.9292769,13.82527975,1.578749929,0.340759567,4.219656157
6.623841592,17.53181279,7.387041417,237.7636289,13.79795305,1.592480899,0.340186557,4.219368735
6.624913743,17.57726698,7.387467933,237.5968,13.77090856,1.606199227,0.339620235,4.219076042
6.625980976,17.62262835,7.387892521,237.4287977,13.74414459,1.619904825,0.339060559,4.21877803
6.627043304,17.66789685,7.388315184,237.2596291,13.71765946,1.633597602,0.338507487,4.21847465
6.628100736,17.71307241,7.388735926,237.0893018,13.69145147,1.647277467,0.337960977,4.218165855
6.629153286,17.75815497,7.389154753,236.9178228,13.66551894,1.660944331,0.337420987,4.217851598
6.630200962,17.80314448,7.389571668,236.7451997,13.63986018,1.674598103,0.336887474,4.217531829
6.631243778,17.84804086,7.389986676,236.5714396,13.6144735,1.688238693,0.336360398,4.217206502
6.632281745,17.89284405,7.390399782,236.3965499,13.58935723,1.701866011,0.335839715,4.216875568
6.633314873,17.937554,7.390810989,236.2205379,13.56450966,1.715479966,0.335325385,4.216538979
6.634343174,17.98217064,7.391220302,236.0434109,13.53992911,1.729080469,0.334817364,4.216196689
6.635366659,18.02669391,7.391627725,235.8651762,13.5156139,1.742667428,0.334315611,4.215848648
6.63638534,18.07112375,7.392033263,235.6858412,13.49156234,1.756240755,0.333820085,4.215494809
6.637399228,18.11546009,7.392436921,235.5054131,13.46777274,1.769800358,0.333330742,4.215135125
6.638408334,18.15970287,7.392838701,235.3238992,13.44424341,1.783346148,0.332847541,4.214769546
6.639412669,18.20385204,7.39323861,235.141307,13.42097266,1.796878034,0.33237044,4.214398026
6.640412245,18.24790752,7.393636651,234.9576436,13.39795881,1.810395926,0.331899397,4.214020517
6.641407073,18.29186926,7.394032828,234.7729164,13.37520018,1.823899734,0.331434369,4.21363697
6.642397165,18.3357372,7.394427146,234.5871326,13.35269506,1.837389368,0.330975316,4.213247338
6.643382531,18.37951127,7.39481961,234.4002997,13.33044178,1.850864737,0.330522195,4.212851572
6.644363184,18.4231914,7.395210223,234.212425,13.30843865,1.864325751,0.330074963,4.212449626
6.645339133,18.46677755,7.395598991,234.0235156,13.28668398,1.87777232,0.32963358,4.212041451
6.646310391,18.51026965,7.395985916,233.833579,13.26517608,1.891204353,0.329198003,4.211627
6.647276969,18.55366762,7.396371005,233.6426225,13.24391327,1.904621762,0.328768189,4.211206223
6.648238878,18.59697142,7.39675426,233.4506533,13.22289386,1.918024454,0.328344097,4.210779075
6.64919613,18.64018099,7.397135688,233.2576788,13.20211616,1.931412341,0.327925686,4.210345506
6.650148736,18.68329624,7.397515291,233.0637063,13.18157848,1.944785332,0.327512912,4.209905469
6.651096706,18.72631714,7.397893074,232.8687431,13.16127914,1.958143336,0.327105734,4.209458916
6.652040053,18.76924361,7.398269042,232.6727966,13.14121645,1.971486263,0.32670411,4.209005799
